query,tgt_chunksize,chunks,entries,bytesread,walltime,workers,us*core/evt,b/evt,MB/s/core
q1,524288,102,53446198,228507601,1.910026875033509,1,0.035737376025016955,4.275469716293009,119.63580407526523
q2,524288,102,53446198,752291223,5.582509250030853,1,0.1044510079095028,14.075673315433962,134.75861647624538
q3,524288,102,53446198,1536491543,13.424229707976338,1,0.25117277206465344,28.748378752778635,114.45658905010062
q4,524288,102,53446198,979947432,7.619715707958676,1,0.1425679654137171,18.335213142757134,128.606823345976
q5,524288,102,53446198,1569518573,16.912683332979213,1,0.31644315154053076,29.36632785366697,92.80127476516319
q6,524288,102,53446198,3519806450,181.8814020830323,1,3.403074659923093,65.85700352343117,19.352206491091057
q7,524288,102,53446198,4753462860,55.95492824999383,1,1.046939358530121,88.93921434785689,84.95163891127899
q8,524288,102,53446198,2139219295,26.679878082999494,1,0.4991913191467706,40.02565898139284,80.18099964119092
q1,524288,102,53446198,231061777,1.9795961669879034,4,0.14815618255860993,4.323259383202524,29.18041831627419
q2,524288,102,53446198,751439831,1.5830385000444949,4,0.11847716464654753,14.059743426464124,118.67049205987078
q3,524288,102,53446198,1535640151,3.6512193340458907,4,0.2732631671233857,28.7324488638088,105.14570685201535
q4,524288,102,53446198,979096040,2.0553020830266178,4,0.15382213590022759,18.319283253787294,119.09393369540508
q5,524288,102,53446198,1568667181,4.583988540980499,4,0.3430731249381293,29.350397964697134,85.55143446456279
q6,524288,102,53446198,3518955058,112.8513813749887,4,8.445980114431242,65.84107363446134,7.795551581036976
q7,524288,102,53446198,4752611468,15.908312708023004,4,1.1906038822834886,88.92328445888705,74.68754787556958
q8,524288,102,53446198,2138367903,7.5143809170112945,4,0.562388435339127,40.009729092423,71.14251748135014
q1,524288,102,53446198,234467345,1.8447867080103606,8,0.276133648722457,4.386978939081878,15.887158118463308
q2,524288,102,53446198,751439831,1.0680945420172065,8,0.15987585003029875,14.059743426464124,87.94163361007683
q3,524288,102,53446198,1535640151,2.306563374993857,8,0.3452538756816875,28.7324488638088,83.22122034713709
q4,524288,102,53446198,979096040,1.3598111249739304,8,0.20354093287966796,18.319283253787294,90.00294434445543
q5,524288,102,53446198,1568667181,3.182352834031917,8,0.4763448781194003,29.350397964697134,61.615857150751566
q6,524288,102,53446198,3518955058,166.58851520903409,8,24.93550844668638,65.84107363446134,2.6404544256730724
q7,524288,102,53446198,4752611468,9.669090207957197,8,1.4473007352863074,88.92328445888705,61.44077888642549
q8,524288,102,53446198,2138367903,4.691974916961044,8,0.7023100003425566,40.009729092423,56.968758914023674
